000036f903,1
00010925a5,1
0001f552b0,1
00038f9200,1
00047b3720,0
0006b9ad75,1
0007b4ca21,0
00083b5b14,0
0008b2cb41,1
0009e6bafa,0
000b9905d8,1
000bc820f6,0
000c216adb,0
000ca87889,1
000f46bbfc,1
0010f1f8ca,1
0012d1d4aa,0
001392b297,1
0013c0cbab,1
0015aa77ce,1
00167a61e2,1
0016b0d9ad,0
0017fdd057,1
00184df0c9,1
0019e0f07d,1
001a2412c6,1
001c2b565f,0
001de90d21,1
001e9c6ba3,0
0022f28148,1
002381dc56,0
0023969710,1
0024e5fa85,1
002553645a,1
0025cdb75d,1
0028dccae2,0
002ae6cc1b,0
002baf7ce5,1
002d75f279,0
002e7fd44c,1
002f046bce,0
002fabed20,1
003176084f,1
0033164c42,0
00335b315c,1
0034f54109,0
00350e1366,0
0035ae3cea,1
0035b2eff5,1
0037d53c0f,1
0038b5eb9a,0
0038c479b1,0
003ad69e9c,0
003b5c69d4,0
003b9c13e7,1
003c8a943a,0
003da7167f,1
003e1d8ebc,1
003e2a7b76,1
003f325b7d,1
003f35d8a5,1
003f8ad99f,1
0041b6b22d,1
00433f3f2f,1
004554742f,0
0046e67e68,1
0047aed44a,1
0047d59024,0
0047f2242c,0
00482eb511,1
00491ad03f,1
004923aa68,1
0049690b46,1
004a2f8c01,1
004ab9a752,1
004b2ebc75,1
004b3b6a8d,1
004b4291f6,1
004c3f8825,1
004e0c04e8,1
004e7eacda,0
004ec9afa7,1
004ee01979,1
004eef0f1d,1
004f5d39fd,0
00501ddf9b,0
00514955a4,0
0051a92d55,0
0053f1b695,1
00540960fe,1
005411b848,1
0055455d82,0
0055bb8e9a,0
0055ffa287,0
0056079bb2,0
00595658c6,1
005ae12216,1
005eee22b0,0
006000d409,0
0061071e72,0
0061395321,0
00629874b1,1
0063addab6,0
006494f8d8,1
006560e5c3,0
00656551fb,0
0066608ba8,1
006c2b02d7,1
006ced7c31,0
006d47ff8a,1
006f7b4bea,1
00756cca48,1
0076d8763e,0
00773afba4,1
00775b2af4,0
0077c45e10,1
00785b7311,1
0078d68a84,0
00792ed8eb,0
0079e36d2c,1
007a7d159a,1
